date,open,close,high,low,volume,code
2016-12-16,23.586,23.863,24.064,23.252,1159837.0,000651
2016-12-19,23.873,23.07,23.901,23.013,1053776.0,000651
2016-12-20,22.946,22.918,23.252,22.612,852736.0,000651
2016-12-21,23.023,23.109,23.147,22.841,670037.0,000651
2016-12-22,23.195,23.548,23.768,23.137,1102716.0,000651
2016-12-23,23.366,23.004,23.395,22.946,710528.0,000651
2016-12-26,22.822,23.51,23.529,22.612,760513.0,000651
2016-12-27,23.452,23.844,24.169,23.395,1027770.0,000651
2016-12-28,23.958,23.815,24.121,23.682,569611.0,000651
2016-12-29,23.739,23.71,23.92,23.5,454146.0,000651
2016-12-30,23.768,23.51,23.92,23.51,469871.0,000651
2017-01-03,23.586,23.93,24.102,23.586,583929.0,000651
2017-01-04,23.958,24.006,24.092,23.758,716624.0,000651
2017-01-05,24.054,24.121,24.235,23.958,630843.0,000651
2017-01-06,24.064,23.873,24.073,23.729,541129.0,000651
2017-01-09,23.873,23.624,23.873,23.395,562307.0,000651
2017-01-10,23.624,23.806,23.844,23.405,463826.0,000651
2017-01-11,23.739,23.567,23.949,23.471,346364.0,000651
2017-01-12,23.51,23.214,23.615,23.175,384129.0,000651
2017-01-13,23.271,23.07,23.347,23.051,414360.0,000651
2017-01-16,23.07,22.717,23.07,22.259,612204.0,000651
2017-01-17,22.717,23.08,23.099,22.622,386341.0,000651
2017-01-18,23.166,23.834,24.016,23.166,918678.0,000651
2017-01-19,23.873,23.758,24.016,23.653,379530.0,000651
2017-01-20,23.768,24.226,24.398,23.768,684143.0,000651
2017-01-23,24.36,24.14,24.675,24.073,589593.0,000651
2017-01-24,24.13,24.178,24.283,23.968,399391.0,000651
2017-01-25,24.111,24.35,24.35,23.997,321067.0,000651
2017-01-26,24.35,24.617,24.77,24.35,519727.0,000651
2017-02-03,24.541,24.245,24.608,24.159,325403.0,000651
2017-02-06,24.235,24.121,24.388,24.016,423273.0,000651
2017-02-07,24.092,23.997,24.092,23.863,451103.0,000651
2017-02-08,24.035,24.207,24.302,23.958,412138.0,000651
2017-02-09,24.255,24.465,24.636,24.255,585116.0,000651
2017-02-10,24.541,24.799,24.999,24.455,766443.0,000651
2017-02-13,24.799,25.878,25.906,24.77,1208038.0,000651
2017-02-14,26.069,25.687,26.489,25.563,988288.0,000651
2017-02-15,25.687,25.773,26.117,25.544,795565.0,000651
2017-02-16,25.696,26.346,26.346,25.61,745332.0,000651
2017-02-17,26.451,26.174,26.642,25.954,773631.0,000651
2017-02-20,26.222,27.262,27.367,26.212,1326712.0,000651
2017-02-21,27.196,26.966,27.339,26.795,894104.0,000651
2017-02-22,26.833,27.043,27.215,26.642,651620.0,000651
2017-02-23,27.033,26.651,27.301,26.546,708644.0,000651
2017-02-24,26.709,26.594,26.871,26.002,690855.0,000651
2017-02-27,26.546,25.906,26.546,25.878,715625.0,000651
2017-02-28,25.868,26.203,26.327,25.868,434798.0,000651
2017-03-01,26.26,26.222,26.499,26.078,411257.0,000651
2017-03-02,26.26,26.078,26.384,26.002,365122.0,000651
2017-03-03,26.05,26.069,26.183,25.83,395696.0,000651
2017-03-06,26.078,26.88,26.976,26.078,874327.0,000651
2017-03-07,26.928,26.957,27.081,26.785,514196.0,000651
2017-03-08,26.995,26.823,27.196,26.594,495694.0,000651
2017-03-09,26.957,27.119,27.578,26.957,732047.0,000651
2017-03-10,27.224,27.654,27.73,27.024,947505.0,000651
